122107 168249
50402 182088
100000 100000 0
99782 100138 1
99564 100276 2
99346 100414 3
99128 100552 4
98910 100690 5
98692 100828 6
98474 100966 7
98256 101104 8
98038 101242 9
97820 101380 10
97602 101518 11
97384 101656 12
97166 101794 13
96948 101932 14
96730 102070 15
96512 102208 16
96294 102346 17
96076 102484 18
95858 102622 19
95640 102760 20
95422 102898 21
95204 103036 22
94986 103174 23
94768 103312 24
94550 103450 25
94332 103588 26
94114 103726 27
93896 103864 28
93678 104002 29
93460 104140 30
93242 104278 31
93024 104416 32
92806 104554 33
92588 104692 34
92370 104830 35
92152 104968 36
91934 105106 37
91716 105244 38
91498 105382 39
91280 105520 40
91062 105658 41
90844 105796 42
90626 105934 43
90408 106072 44
90190 106210 45
89972 106348 46
89754 106486 47
89536 106624 48
89318 106762 49
89100 106900 50
88882 107038 51
88664 107176 52
88446 107314 53
88228 107452 54
88010 107590 55
87792 107728 56
87574 107866 57
87356 108004 58
87138 108142 59
86920 108280 60
86702 108418 61
86484 108556 62
86266 108694 63
86048 108832 64
85830 108970 65
85612 109108 66
85394 109246 67
85176 109384 68
84958 109522 69
84740 109660 70
84522 109798 71
84304 109936 72
84086 110074 73
83868 110212 74
83650 110350 75
83432 110488 76
83214 110626 77
82996 110764 78
82778 110902 79
82560 111040 80
82342 111178 81
82124 111316 82
81906 111454 83
81688 111592 84
81470 111730 85
81252 111868 86
81034 112006 87
80816 112144 88
80598 112282 89
80380 112420 90
80162 112558 91
79944 112696 92
79726 112834 93
79508 112972 94
79290 113110 95
79072 113248 96
78854 113386 97
78636 113524 98
78418 113662 99
78200 113800 100
77982 113938 101
77764 114076 102
77546 114214 103
77328 114352 104
77110 114490 105
76892 114628 106
76674 114766 107
76456 114904 108
76238 115042 109
76020 115180 110
75802 115318 111
75584 115456 112
75366 115594 113
75148 115732 114
74930 115870 115
74712 116008 116
74494 116146 117
74276 116284 118
74058 116422 119
73840 116560 120
73622 116698 121
73404 116836 122
73186 116974 123
72968 117112 124
72750 117250 125
72532 117388 126
72314 117526 127
72096 117664 128
71878 117802 129
71660 117940 130
71442 118078 131
71224 118216 132
71006 118354 133
70788 118492 134
70570 118630 135
70352 118768 136
70134 118906 137
69916 119044 138
69698 119182 139
69480 119320 140
69262 119458 141
69044 119596 142
68826 119734 143
68608 119872 144
68390 120010 145
68172 120148 146
67954 120286 147
67736 120424 148
67518 120562 149
67300 120700 150
67082 120838 151
66864 120976 152
66646 121114 153
66428 121252 154
66210 121390 155
65992 121528 156
65774 121666 157
65556 121804 158
65338 121942 159
65120 122080 160
64902 122218 161
